id,title,year,title,maize,sorghum,millets,rice,soybean,other-crops,association-studies,genomics,transcriptomics,image-analysis,quantitative-genetics,ai-ml,engineering,comparative-genomics,genome-editing,genotype-environment-interaction,flowering-time,stress-tolerance,photosynthesis,microbiome,nitrogen,phenomics,review-methods,data-release
2022-g-genome-of-paspalum,Genome of Paspalum vaginatum and the role of trehalose mediated autophagy in increasing maize bio...,2022,Genome of Paspalum vaginatum and the role of trehalose mediated autophagy in increasing maize bio...,,,,,,,,x,,,,,,,,,,x,,,x,,,
2022-m-variation-in-morphophysiological,Variation in morpho-physiological and metabolic responses to low nitrogen stress across the sorgh...,2022,Variation in morpho-physiological and metabolic responses to low nitrogen stress across the sorgh...,,x,,,,,,,,,x,,,,,,,x,,,x,,,
2022-rv-can-the-grains,Can the grains offer each other helping hands? Convergent molecular mechanisms associated with do...,2022,Can the grains offer each other helping hands? Convergent molecular mechanisms associated with do...,,,,,,,,,,,,,,x,,,,,,,,,x,
2022-n-the-unique-seed,The unique seed protein composition of quality protein popcorn promotes growth of beneficial bact...,2022,The unique seed protein composition of quality protein popcorn promotes growth of beneficial bact...,x,,,,,,,,,,,,,,,,,,,x,,,,
2022-r-snp-discovery-in,SNP Discovery in Proso millet (Panicum miliaceum L.) using low-pass genome sequencing.,2022,SNP Discovery in Proso millet (Panicum miliaceum L.) using low-pass genome sequencing.,,,x,,,,,,,,,,,,,,,,,,,,,
2022-m-maize-rootassociated-microbes,Maize root-associated microbes likely under adaptive selection by the host to enhance phenotypic ...,2022,Maize root-associated microbes likely under adaptive selection by the host to enhance phenotypic ...,x,,,,,,,,,,x,,,,,,,,,x,,,,
2022-h-pervasive-misannotation-of,Pervasive misannotation of microexons that are evolutionarily conserved and crucial for gene func...,2022,Pervasive misannotation of microexons that are evolutionarily conserved and crucial for gene func...,,,,,,,,x,,,,,,,,,,,,,,,,
2022-l-sorghum-association-panel,Sorghum association panel whole-genome sequencing establishes pivotal resource for dissecting gen...,2022,Sorghum association panel whole-genome sequencing establishes pivotal resource for dissecting gen...,,x,,,,,,,,,,,,,,,,,,,,,,x
2022-e-a-uavbased-highthroughput,A UAV-based high-throughput phenotyping approach to assess time-series nitrogen responses and ide...,2022,A UAV-based high-throughput phenotyping approach to assess time-series nitrogen responses and ide...,x,,,,,,,,,x,,,,,,,,,,,x,x,,
2022-sh-field-deployment-of,Field deployment of a nanogap gas sensor for crop damage detection.,2022,Field deployment of a nanogap gas sensor for crop damage detection.,,,,,,,,,,,,,x,,,,,,,,,,,
2022-q-genetic-analysis-of,Genetic analysis of seed traits in Sorghum bicolor that affect the human gut microbiome.,2022,Genetic analysis of seed traits in Sorghum bicolor that affect the human gut microbiome.,,x,,,,,,,,,,,,,,,,,,x,,,,
2022-k-the-genome-of,The genome of Orychophragmus violaceus provides genomic insights into the evolution of Brassicace...,2022,The genome of Orychophragmus violaceus provides genomic insights into the evolution of Brassicace...,,,,,,,,x,,,,,,,,,,,,,,,,
2022-d-time-series-canopy,Time series canopy phenotyping enables the identification of genetic variants controlling dynamic...,2022,Time series canopy phenotyping enables the identification of genetic variants controlling dynamic...,,,,,x,,x,,,,,,,,,,,,,,,,,
2021-x-predicting-transcriptional-responses,Predicting transcriptional responses to cold stress across plant species.,2021,Predicting transcriptional responses to cold stress across plant species.,x,x,,,,,,,,,,x,,x,,,,,,,,,,
2021-mc-d-reconstruction-identifies,3D reconstruction identifies loci linked to variation in angle of individual sorghum leaves.,2021,3D reconstruction identifies loci linked to variation in angle of individual sorghum leaves.,,x,,,,,x,,,,,,,,,,,,,,,x,,
2021-rv-metaanalysis-identifies-pleiotropic,Meta-analysis identifies pleiotropic loci controlling phenotypic trade-offs in sorghum.,2021,Meta-analysis identifies pleiotropic loci controlling phenotypic trade-offs in sorghum.,,x,,,,,x,,,,x,,,,,,,,,,,,,x
2021-g-quantitative-resistance-loci,Quantitative resistance loci to southern rust mapped in a temperate maize diversity panel.,2021,Quantitative resistance loci to southern rust mapped in a temperate maize diversity panel.,x,,,,,,x,,,,,,,,,,,,,,,,,
2021-x-hour-diurnal-rnaseq,"72-hour diurnal RNA-seq analysis of fully expanded third leaves from maize, sorghum, and foxtail ...",2021,"72-hour diurnal RNA-seq analysis of fully expanded third leaves from maize, sorghum, and foxtail ...",,,,,,,,,x,,,,,,,,,,,,,,,x
2021-c-automation-of-leaf,Automation of leaf counting in maize and sorghum using deep learning.,2021,Automation of leaf counting in maize and sorghum using deep learning.,x,x,,,,,,,,x,,x,,,,,,,,,,,,
2021-m-hyperspectral-reflectancebased-phenotyping,Hyperspectral reflectance-based phenotyping for quantitative genetics in crops: progress and chal...,2021,Hyperspectral reflectance-based phenotyping for quantitative genetics in crops: progress and chal...,,,,,,,,,,x,,,,,,,,,,,,,x,
2021-dd-comparative-transcriptome-analysis,Comparative transcriptome analysis reveals genetic mechanisms of sugarcane aphid resistance in gr...,2021,Comparative transcriptome analysis reveals genetic mechanisms of sugarcane aphid resistance in gr...,,x,,,,,,,x,,,,,,,,,,,,,,,
2021-l-a-coopted-steroid,"A co-opted steroid synthesis gene, maintained in sorghum but not maize, is associated with a dive...",2021,"A co-opted steroid synthesis gene, maintained in sorghum but not maize, is associated with a dive...",x,x,,,,,,,,,,,,x,,,,,,,,,,
2021-s-can-high-resolution,Can high resolution satellite imagery be used in high-throughput field phenotyping.,2021,Can high resolution satellite imagery be used in high-throughput field phenotyping.,x,,,,,,,,,x,,,,,,,,,,,,x,,
2021-y-continuous-in-situ,Continuous in situ soil nitrate sensors: a comparison with conventional measurements and the valu...,2021,Continuous in situ soil nitrate sensors: a comparison with conventional measurements and the valu...,,,,,,,,,,,,,x,,,,,,,,x,,,
2021-s-dct-a-new,DCT4 - a new member of the dicarboxylate transporter family in C4 grasses.,2021,DCT4 - a new member of the dicarboxylate transporter family in C4 grasses.,,,,,,,,x,,,,,,x,,,,,x,,,,,
2021-sh-development-of-a,Development of a gas sensor for green leaf volatile detection.,2021,Development of a gas sensor for green leaf volatile detection.,,,,,,,,,,,,,x,,,,,,,,,,,
2021-x-genomewide-dna-polymorphism,Genome-wide DNA polymorphism analysis and molecular marker development for the Setaria italica va...,2021,Genome-wide DNA polymorphism analysis and molecular marker development for the Setaria italica va...,,,x,,,,,x,,,,,,,,,,,,,,,,
2021-m-genomic-resources-in,Genomic resources in plant breeding for sustainable agriculture.,2021,Genomic resources in plant breeding for sustainable agriculture.,,,,,,,,,,,,,,,,,,,,,,,x,
2021-y-identification-and-utilization,Identification and utilization of genetic determinants of trait measurement errors in image-based...,2021,Identification and utilization of genetic determinants of trait measurement errors in image-based...,x,,,,,,,,,x,x,,,,,,,,,,,x,,
2021-a-maize-tassel-detection,Maize tassel detection from UAV imagery using deep learning.,2021,Maize tassel detection from UAV imagery using deep learning.,x,,,,,,,,,x,,x,,,,,,,,,,,,
2021-rj-phosphoenolpyruvate-carboxylase-kinetic,Phosphoenolpyruvate carboxylase kinetic variation provides opportunity to enhance C4 photosynthet...,2021,Phosphoenolpyruvate carboxylase kinetic variation provides opportunity to enhance C4 photosynthet...,,,,,,,,,,,,,,,,,,,x,,,,,
2021-ma-rhizosphere-microbiomes-in,Rhizosphere microbiomes in a historical maize/soybean rotation system respond to host species and...,2021,Rhizosphere microbiomes in a historical maize/soybean rotation system respond to host species and...,x,,,,x,,,,,,,,,,,,,,,x,x,,,
2021-ar-the-importance-of,The importance of dominance and genotype-by-environment interactions on grain yield variation in ...,2021,The importance of dominance and genotype-by-environment interactions on grain yield variation in ...,x,,,,,,,,,,x,,,,,,,,,,,,,
2021-d-utility-of-climatic,Utility of climatic information via combining ability models to improve genomic prediction for yi...,2021,Utility of climatic information via combining ability models to improve genomic prediction for yi...,x,,,,,,,,,,,,,,,x,,,,,,,,
2021-mr-qteller-a-tool,qTeller: A tool for comparative multi-genomic gene expression analysis.,2021,qTeller: A tool for comparative multi-genomic gene expression analysis.,x,,,,,,,x,x,,,,,,,,,,,,,,,
2021-a-robotic-technologies-for,Robotic technologies for high-throughput plant phenotyping: reviews and perspectives.,2021,Robotic technologies for high-throughput plant phenotyping: reviews and perspectives.,,,,,,,,,,,,,x,,,,,,,,,x,x,
2020-x-interspecific-analysis-of,Interspecific analysis of diurnal gene regulation in panicoid grasses identifies known and novel ...,2020,Interspecific analysis of diurnal gene regulation in panicoid grasses identifies known and novel ...,x,x,,,,,,,x,,,,,x,,,,,,,,,,
2020-ds-isoseq-transcriptome-assembly,IsoSeq transcriptome assembly of C3 panicoid grasses provides tools to study evolutionary change ...,2020,IsoSeq transcriptome assembly of C3 panicoid grasses provides tools to study evolutionary change ...,,,,,,,,x,x,,,,,x,,,,,,,,,,
2020-skk-leaf-angle-extractor,Leaf Angle eXtractor - A high throughput image processing framework for leaf angle measurement in...,2020,Leaf Angle eXtractor - A high throughput image processing framework for leaf angle measurement in...,,,,,,,,,,x,,,,,,,,,,,,,,
2020-c-semantic-segmentation-of,Semantic segmentation of sorghum using hyperspectral data identifies genetic associations.,2020,Semantic segmentation of sorghum using hyperspectral data identifies genetic associations.,,x,,,,,,,,x,,x,,,,,,,,,,x,,
2020-z-genomephenome-wide-association,Genome-phenome wide association in maize and arabidopsis identifies a common molecular and evolut...,2020,Genome-phenome wide association in maize and arabidopsis identifies a common molecular and evolut...,x,,,,,,,x,,,x,,,,,,,,,,,,x,
2020-c-increased-power-and,Increased power and accuracy of causal locus identification in time-series genome-wide associatio...,2020,Increased power and accuracy of causal locus identification in time-series genome-wide associatio...,,x,,,,,x,,,,,,,,,,,,,,,x,x,
2020-x-nonhomologybased-prediction-of,Non-homology-based prediction of gene functions.,2020,Non-homology-based prediction of gene functions.,,,,,,,,x,,,,x,,,,,,,,,,,,
2020-z-shared-genetic-control,Shared genetic control of root system architecture between Zea mays and Sorghum bicolor.,2020,Shared genetic control of root system architecture between Zea mays and Sorghum bicolor.,x,x,,,,,x,,,,,,,,,,,,,,,,,
2020-m-voxel-carving-based,Voxel carving based 3D reconstruction of sorghum identifies genetic determinants of radiation int...,2020,Voxel carving based 3D reconstruction of sorghum identifies genetic determinants of radiation int...,,x,,,,,,,,,,,,,,,,,,,,x,x,
2020-r-a-highthroughput-phenotyping,A high-throughput phenotyping pipeline for image processing and functional growth curve analysis.,2020,A high-throughput phenotyping pipeline for image processing and functional growth curve analysis.,,,,,,,,,,x,,,,,,,,,,,,x,x,
2020-b-advancing-multiscale-crop,Advancing multi-scale crop modeling for agricultural climate change adaptation assessment.,2020,Advancing multi-scale crop modeling for agricultural climate change adaptation assessment.,,,,,,,,,,,,,,,,,,,,,,,x,
2020-d-enhancing-hybrid-prediction,Enhancing hybrid prediction in pearl millet using genomic and/or multi-environment phenotypic inf...,2020,Enhancing hybrid prediction in pearl millet using genomic and/or multi-environment phenotypic inf...,,,x,,,,,,,,x,,,,,x,,,,,,,,
2020-j-genomewide-characterization-of,Genome-wide characterization of DNase I-hypersensitive sites and cold response regulatory landsca...,2020,Genome-wide characterization of DNase I-hypersensitive sites and cold response regulatory landsca...,,,,,,,,x,,,,,,,,,,x,,,,,,
2020-s-investigating-the-potential,Investigating the potential of satellite imagery for high-throughput field phenotyping applications.,2020,Investigating the potential of satellite imagery for high-throughput field phenotyping applications.,,,,,,,,,,x,,,,,,,,,,,,x,,
2020-b-multiscale-computational-models,Multiscale computational models can guide experimentation and targeted measurements for crop impr...,2020,Multiscale computational models can guide experimentation and targeted measurements for crop impr...,,,,,,,,,,,,,,,,,,,,,,,x,
2020-g-rgpdb-database-of,"RGPDB: Database of root-associated genes and promoters in maize, soybean, and sorghum.",2020,"RGPDB: Database of root-associated genes and promoters in maize, soybean, and sorghum.",,,,,,,,x,,,,,,,,,,,,,,,,x
2020-m-sorghum-segmentation-by,Sorghum Segmentation by Skeleton Extraction.,2020,Sorghum Segmentation by Skeleton Extraction.,,x,,,,,,,,x,,x,,,,,,,,,,,,
2020-skk-advances-in-plant,Advances in plant phenomics: From data and algorithms to biological insights.,2020,Advances in plant phenomics: From data and algorithms to biological insights.,,,,,,,,,,,,,,,,,,,,,,x,x,
2020-a-fasterrcnn-based-deep,Faster-R-CNN based deep learning for locating corn tassels in UAV imagery.,2020,Faster-R-CNN based deep learning for locating corn tassels in UAV imagery.,x,,,,,,,,,x,,x,,,,,,,,,,,,
2020-ba-maize-genomes-to,"Maize Genomes to Fields (G2F): 2014 –2017 field seasons’ genotype, phenotype, climatic, soil and ...",2020,"Maize Genomes to Fields (G2F): 2014 –2017 field seasons’ genotype, phenotype, climatic, soil and ...",x,,,,,,,,,,,,,,,,,,,,,,,x
2020-j-plant-segmentation-by,Plant segmentation by supervised machine learning methods.,2020,Plant segmentation by supervised machine learning methods.,,,,,,,,,,x,,,,,,,,,,,,,x,
2020-a-robotic-detection-and,Robotic detection and grasp of maize and sorghum: stem measurement with contact.,2020,Robotic detection and grasp of maize and sorghum: stem measurement with contact.,,,,,,,,,,,,,x,,,,,,,,,x,,
2019-l-parallel-natural-selection,Parallel natural selection in the cold-adapted crop-wild relative Tripsacum dactyloides and artif...,2019,Parallel natural selection in the cold-adapted crop-wild relative Tripsacum dactyloides and artif...,x,,,,,,,,,,,,,x,,,,x,,,,,,
2019-ma-continuous-monitoring-of,Continuous Monitoring of Soil Nitrate Using a Miniature Sensor with Poly(3-octyl-thiophene) and M...,2019,Continuous Monitoring of Soil Nitrate Using a Miniature Sensor with Poly(3-octyl-thiophene) and M...,,,,,,,,,,,,,x,,,,,,,,x,,,
2019-p-high-density-genetic,High density genetic maps of seashore paspalum using genotyping-by-sequencing and their relations...,2019,High density genetic maps of seashore paspalum using genotyping-by-sequencing and their relations...,,,,,,,,x,,,,,,,,,,,,,,,,
2019-y-highthroughput-analysis-of,High-throughput analysis of leaf physiological and chemical traits with VIS-NIR-SWIR spectroscopy...,2019,High-throughput analysis of leaf physiological and chemical traits with VIS-NIR-SWIR spectroscopy...,x,,,,,,,,,,,,,,,,,,,,x,x,,
2019-y-identification-of-loci,Identification of Loci Controlling Adaptation in Chinese Soybean Landraces via a Combination of C...,2019,Identification of Loci Controlling Adaptation in Chinese Soybean Landraces via a Combination of C...,,,,,x,,x,,,,x,,,,,x,,,,,,,,
